ID,Tournament,MatchDate,Week,Day,Date,Division,Home,Away,Field,Time
95,WMCB Twenty20 Round Robin,2015-07-11,Week 12,Saturday,11-Jul,WMCB T20 Group B,Damascus,Punjab Lions,Laurel 1,2:00 PM
96,WMCB Twenty20 Playoffs,2015-07-11,Week 12,Saturday,11-Jul,WMCB T20 Group Winners,No. 1,No. 2,,BYE
97,WMCB Twenty20 Playoffs,2015-07-12,Week 12,Saturday,12-Jul,T20 QF 1,# 3,# 6,TBD,12:00 PM
98,WMCB Twenty20 Playoffs,2015-07-12,Week 12,Saturday,12-Jul,T20 QF 2,# 4,# 5,TBD,12:00 PM
99,WMCB Twenty20 Playoffs,2015-07-18,Week 13,Saturday,18-Jul,T20 SF 1,No. 1 ,Lowest Rank QF Winner,TBD,12:00 PM
100,WMCB Twenty20 Playoffs,2015-07-18,Week 13,Saturday,18-Jul,T20 SF 2,No. 2,Highest Rank QF Winner,TBD,12:00 PM
101,WMCB Twenty20 Playoffs,2015-07-19,Week 13,Sunday,19-Jul,T20 Final,SF 1 Winner,SF 2 Winner,TBD,12:00 PM
102,Americian Cricket Champions League,2015-07-25,Week 14,Saturday,25-Jul,Mid-Atlantic Division,New Jersey,Washington Eagles,New Jersey,12:00 PM
103,WMCB Championship ,2015-07-25,Week 14,Saturday,25-Jul,WMCB Inter-Division,Southern Cavaliers,Gladiators,Oxon Hill,11:00 AM
104,WMCB Championship ,2015-07-25,Week 14,Saturday,25-Jul,WMCB Super 8,Va Lions,United,Mark Twain,11:00 AM
105,WMCB Championship ,2015-07-26,Week 14,Sunday,26-Jul,WMCB Super 8,Damascus,Punjab Lions,Oxon Hill,11:00 AM
106,WMCB Championship ,2015-07-26,Week 14,Sunday,26-Jul,WMCB Super 8,Washington Hurricanes,Challengers,Mark Twain,11:00 AM
107,WMCB Championship ,2015-07-26,Week 14,Saturday,26-Jul,WMCB Super 8,Columbia,Crescent,Laurel III,11:00 AM
108,WMCB Championship ,2015-07-26,Week 14,Sunday,26-Jul,WMCB Inter-Division,Mavericks,A Money Matter,Laurel II,11:00 AM
109,WMCB Championship ,2015-07-26,Week 14,Sunday,26-Jul,WMCB Inter-Division,Spartans,Renegades,Laurel I,11:00 AM
110,WMCB Championship,2015-08-01,Week 15,Saturday,1-Aug,WMCB Inter-Division,Mavericks,Southern Cavaliers,Oxon Hill,11:00 AM
111,WMCB Championship,2015-08-01,Week 15,Saturday,1-Aug,WMCB Inter-Division,Gladiators,Renegades,Mark Twain,11:00 AM
112,WMCB Championship,2015-08-01,Week 15,Saturday,1-Aug,WMCB Inter-Division,Spartans,A Money Matter,Laurel II,11:00 AM
113,WMCB Championship,2015-08-02,Week 15,Sunday,2-Aug,WMCB Super 8,Va Lions,Damascus,Oxon Hill,11:00 AM
114,WMCB Championship,2015-08-02,Week 15,Sunday,2-Aug,WMCB Super 8,Columbia,United,Mark Twain,11:00 AM
115,WMCB Championship,2015-08-02,Week 15,Sunday,2-Aug,WMCB Super 8,Washington Hurricanes,Crescent,Laurel III,11:00 AM
116,WMCB Championship,2015-08-02,Week 15,Sunday,2-Aug,WMCB Super 8,Punjab Lions,Challengers,Laurel II,11:00 AM
117,WMCB Championship ,2015-08-08,Week 16,Saturday,8-Aug,WMCB Super 8,Damascus,Washington Hurricanes,Mark Twain,11:00 AM
118,WMCB Championship ,2015-08-08,Week 16,Saturday,8-Aug,WMCB Super 8,Punjab Lions,Columbia,Laurel III,11:00 AM
119,WMCB Championship ,2015-08-08,Week 16,Saturday,8-Aug,WMCB Super 8,Challengers,Va Lions,Oxon Hill,11:00 AM
120,WMCB Championship ,2015-08-09,Week 16,Sunday,9-Aug,WMCB Super 8,Crescent,United,Mark Twain,11:00 AM
121,WMCB Championship ,2015-08-09,Week 16,Sunday,9-Aug,WMCB Inter-Division,Renegades,Mavericks,Oxon Hill,11:00 AM
122,WMCB Championship ,2015-08-09,Week 16,Sunday,9-Aug,WMCB Inter-Division,A Money Matter,Southern Cavaliers,Laurel I,11:00 AM
123,WMCB Championship ,2015-08-09,Week 16,Sunday,9-Aug,WMCB Inter-Division,Spartans,Gladiators,Laurel III,11:00 AM
124,Americian Cricket Champions League,2015-08-15,Week 17,Saturday,15-Aug,Mid-Atlantic Division,Washington Eagles,Philadelphia,Washington,12:00 PM
125,WMCB Championship ,2015-08-15,Week 17,Saturday,15-Aug,WMCB Southern Division,Washington Hurricanes,Renegades,Mark Twain,11:00 AM
